,,,Premature age-adjusted mortality,,,,Child mortality,,,,Infant mortality,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Drug overdose deaths - modeled,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Health care costs,Other primary care providers^,,Previous Other primary care providers data^,,Median household income,,,Children eligible for free lunch,Residential segregation - black/white,"Residential segregation - 
non-white/white",Homicides,,,Demographics,,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
06067,California,Sacramento,14304,329,323,334,636,44,41,47,794,5,5,6,12,11,12,11,11,12,10,9,10,3243,273,245480,17,51932,4,698,16,18.1-20.0,906,9,9,10,32,31,32,192622,21,20,22,24509,7,5,8,7959,49,2061:1,49,2039:1,55803,54519,57087,46,43,36,6,6,7,1482026,24.4,12.8,145177,9.8,22883,1.5,233654,15.8,17980,1.2,333627,22.5,690622,46.6,95883,7.1,,,51.1,29257,2.1,
06069,California,San Benito,415,249,225,273,27,42,28,62,27,5,3,7,12,11,12,11,11,11,10,10,10,35,77,5900,11,1645,3,18,10,8.1-10.0,47,12,9,16,31,31,32,8513,24,22,26,1458,9,7,11,7267,31,3237:1,34,2913:1,68166,63006,73326,48,44,16,6,4,9,58267,26.8,11.4,449,0.8,1823,3.1,2043,3.5,222,0.4,33993,58.3,20976,36.0,5427,10.3,8.9,11.6,49.8,13267,24.0,
06071,California,San Bernardino,19384,340,335,345,1149,49,46,52,1442,6,6,7,13,13,13,12,12,12,10,10,11,3411,205,272200,13,151879,7,376,6,6.1-8.0,1652,12,11,12,36,35,37,331500,26,25,27,51928,9,7,10,9881,49,2061:1,50,2014:1,51951,50938,52964,60,35,26,6,6,7,2112619,27.2,10.3,175028,8.3,42972,2.0,153660,7.3,9719,0.5,1091228,51.7,646398,30.6,164389,8.6,,,50.2,96357,4.7,
06073,California,San Diego,23996,255,252,258,1184,41,39,43,1444,5,4,5,10,10,10,11,11,11,9,9,10,12404,468,435560,14,84421,3,1271,13,14.1-16.0,1656,8,7,8,34,33,34,434234,22,21,22,63062,8,7,9,8881,53,1871:1,54,1862:1,66034,64881,67187,41,47,33,3,3,3,3263431,22.3,12.7,155571,4.8,43240,1.3,389805,11.9,19597,0.6,1083028,33.2,1523551,46.7,234203,7.9,,,49.8,102054,3.3,
06075,California,San Francisco,6709,254,248,260,180,41,35,47,223,4,3,4,9,9,9,9,9,9,8,8,9,14910,2004,136340,17,11090,1,430,17,>20,235,4,4,5,32,32,33,83244,14,13,15,6147,5,4,6,7598,73,1371:1,74,1342:1,83788,80602,86974,47,60,37,6,6,7,852469,13.4,14.4,44777,5.3,7015,0.8,297784,34.9,3979,0.5,130275,15.3,351336,41.2,104023,13.1,12.8,13.5,49.1,0,0.0,
06077,California,San Joaquin,7152,358,350,367,365,46,41,50,446,6,5,6,12,12,12,11,11,12,10,10,10,1201,215,113260,16,24555,4,335,16,18.1-20.0,583,12,11,13,35,34,35,104589,25,23,26,15514,7,6,9,8032,28,3525:1,29,3440:1,51527,50028,53026,57,45,31,9,8,10,715597,27.8,11.8,50056,7.0,14237,2.0,113849,15.9,5288,0.7,289466,40.5,242975,34.0,65834,10.2,,,50.2,58065,8.5,
06079,California,San Luis Obispo,2480,263,252,273,94,47,38,57,85,4,4,6,10,10,11,11,11,11,9,8,9,460,193,39290,14,10757,4,109,13,14.1-16.0,192,10,9,12,30,29,30,30308,18,17,20,4196,8,6,10,7164,55,1824:1,55,1812:1,61775,57991,65559,35,56,21,2,1,3,279083,18.1,17.5,5159,1.8,3882,1.4,10706,3.8,597,0.2,61521,22.0,193962,69.5,10308,4.0,3.5,4.4,49.1,44750,16.6,
06081,California,San Mateo,4904,201,195,206,173,27,23,31,231,3,3,4,9,9,9,9,9,9,9,9,9,1413,228,80730,11,11019,2,181,8,8.1-10.0,277,5,5,6,30,30,31,67700,14,13,15,10443,6,5,7,7442,30,3357:1,30,3342:1,100806,99253,102359,30,55,37,3,3,4,758581,21.5,14.7,18641,2.5,6477,0.9,209748,27.7,11874,1.6,191603,25.3,306832,40.4,58662,8.5,,,50.8,13586,1.9,
06083,California,Santa Barbara,3085,246,237,254,125,32,26,38,197,5,4,5,12,11,12,11,11,11,9,9,9,542,151,51580,12,12538,3,151,12,14.1-16.0,244,8,7,9,31,30,31,66994,25,24,27,9870,10,8,11,7512,48,2088:1,50,2012:1,62116,58412,65820,51,43,23,2,2,3,440668,22.4,14.0,7783,1.8,9664,2.2,25266,5.7,1059,0.2,195856,44.4,202410,45.9,46141,11.4,10.9,12.0,49.9,21269,5.0,
06085,California,Santa Clara,10901,199,195,203,483,28,25,30,620,3,3,4,9,9,9,9,9,9,8,8,9,3233,213,219110,12,22556,1,428,8,8.1-10.0,723,6,5,6,32,31,32,184767,16,15,16,23000,5,4,6,7715,48,2091:1,48,2075:1,97219,94975,99463,32,42,34,3,2,3,1894605,23.1,12.2,45566,2.4,24975,1.3,661220,34.9,9061,0.5,503062,26.6,630766,33.3,175612,10.2,,,49.7,19307,1.1,
06087,California,Santa Cruz,2155,251,240,262,82,37,30,46,94,4,3,5,11,11,11,11,11,11,9,8,9,425,187,36910,14,10587,4,156,19,16.1-18.0,146,8,7,9,29,28,30,37641,22,20,24,4642,8,6,10,7086,48,2075:1,49,2059:1,64257,59069,69445,45,55,30,4,3,5,271804,20.1,13.5,2674,1.0,4839,1.8,13090,4.8,493,0.2,90313,33.2,158156,58.2,22091,8.8,8.2,9.3,50.4,31589,12.0,
